SMILES,cox2,estrogen,gelatinase,neuramidase,kinase,thrombin,none
C[S](=O)(=O)NC1=C(OC2CCCCC2)C=C(C=C1)[N](=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=C(OC2=C(F)C=C(F)C=C2)C=C3C(=O)CCC3=C1,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=C(SC2=C(F)C=C(F)C=C2)C=C3C(=O)CCC3=C1,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=C(SC2=C(F)C=C(F)C=C2)C=C(C=C1)C(N)=O,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=C(SC2=C(Cl)C=C(Cl)C=C2)C=C(C=C1)[S](N)(=O)=O,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C2=C(N=C(S2)C3=C(Cl)C=CC=C3)C4=CC=C(C=C4)[S](C)(=O)=O,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C2=C(N=C(S2)C3=C(Cl)C=CC=C3)C4=CC=C(SC)C=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)[N]2N=C(C=C2C3=CC=C(F)C=C3)C(F)(F)F,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)[N]2N=C(C=C2C3=CC=C(Br)C=C3)C(F)(F)F,1,0,0,0,0,0,0
CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=NS2)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
CC(=O)C1=NC(=C(O1)C2=CC(=C(C=C2)[S](N)(=O)=O)F)C3=CC=CC=C3,1,0,0,0,0,0,0
CC1=NC(=C(O1)C2=CC(=C(C=C2)[S](N)(=O)=O)F)C3CCCCC3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C([NH]2)C(F)(F)F)C3CCCCC3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C([NH]2)C(F)(F)F)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC23CC3)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC23CCCC3)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)N(CC3=CC=CC=C3)N=C2)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=N[N](CC3=CC=CC=C3)C(=C2C4=CC=C(F)C=C4)C(F)(F)F,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C2=C(CO)ON=C2C3=CC=CC=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(F)C=C3)Cl,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(F)C=C3)C(F)(F)F,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)[N]2N=C(C=C2C3=NC4=C(S3)C(=CC=C4)F)C(F)F,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)[N]2C=CC=C2C3=CC=C(F)C=C3,1,0,0,0,0,0,0
CC1=CC=C(C=C1)[N]2C=CC=C2C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C2=COC(=O)N2C3=CC=C(Cl)C=C3,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C2=COC(=O)N2C3=CC=C(F)C=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)[N]2C=C(N=C2C3=CN=CC=C3)C(F)(F)F,1,0,0,0,0,0,0
CC1=CC(=CN=C1)C2=NC(=C[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C2=C(C=C(F)C(=C2)F)C3=CC(=C(F)C=C3)Cl,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C=C(F)C(=C2)F)C3=CC(=C(F)C=C3)Cl,1,0,0,0,0,0,0
COC1=C(C=C(C2=CC=C(C=C2)[S](C)(=O)=O)C(=N1)C3=CC=C(F)C=C3)C#N,1,0,0,0,0,0,0
COC1=NC(=C(C2=CC=C(F)C=C2)C(=C1)C3=CC=C(C=C3)[S](C)(=O)=O)C(F)(F)F,1,0,0,0,0,0,0
